კლასტერი,მთავარი საკვანძო სიტყვა,დამატებითი ფრაზები,ძიების მიზანი,შეთავაზებული H1,სტრუქტურა,შიდა ბმული,შემდეგი მოქმედება,სტატუსი
ვებსაიტის შექმნა,რა ღირს ვებსაიტის დამზადება საქართველოში,საიტის დამზადების ფასი; ვებ გვერდის ფასი,ფასის გაგება,რა ღირს ვებსაიტის დამზადება საქართველოში,"ფასის ფაქტორები; პროექტის ტიპები; დამატებითი ხარჯები; შეფასების მაგალითი",/prices,მოითხოვოს შეფასება,დაგეგმილი
ვებსაიტის შექმნა,რამდენ ხანში მზადდება ვებსაიტი,საიტის დამზადების ვადა; ვებ პროექტის ეტაპები,ინფორმაციული,რამდენ ხანში მზადდება ვებსაიტი,"ეტაპები; კონტენტის გავლენა; შეთანხმება; გაშვება",/website-development,გამოგზავნოს ბრიფი,დაგეგმილი
ვებსაიტის შექმნა,როგორი ვებსაიტი სჭირდება მცირე ბიზნესს,ბიზნეს საიტი; მცირე ბიზნესის საიტი,პრობლემის გადაჭრა,როგორი ვებსაიტი სჭირდება მცირე ბიზნესს,"მიზანი; გვერდები; კონტაქტი; გაზომვა",/website-development,მოითხოვოს კონსულტაცია,დაგეგმილი
ვებსაიტის შექმნა,რა ინფორმაცია მოვამზადოთ საიტის შეკვეთამდე,საიტის ბრიფი; საიტის შეკვეთა,ინფორმაციული,რა ინფორმაცია უნდა მოამზადოთ საიტის შეკვეთამდე,"მიზანი; აუდიტორია; გვერდები; კონტენტი; ფუნქციები; წვდომები",/website-development,შეავსოს ფორმა,გამოქვეყნებისთვის მზადაა
ვებსაიტის შექმნა,როგორ ავირჩიოთ ვებ დეველოპერული კომპანია,ვებ სტუდია; ვებ დეველოპერი,კომპანიის მოძებნა,როგორ ავირჩიოთ ვებ დეველოპერული კომპანია,"პორტფოლიო; პროცესი; ხელშეკრულება; წვდომები; მხარდაჭერა",/about,დაჯავშნოს საუბარი,დაგეგმილი
WordPress,WordPress თუ ინდივიდუალური პროგრამირება,custom code; CMS არჩევა,შედარება,WordPress თუ ინდივიდუალური პროგრამირება — რომელი ავირჩიოთ,"საჭიროებები; მართვა; მოქნილობა; უსაფრთხოება; ღირებულება",/wordpress-development,აღწეროს ფუნქციები,დაგეგმილი
WordPress,WordPress საიტის განახლება,WordPress მხარდაჭერა; plugin update,პრობლემის გადაჭრა,როგორ განვაახლოთ WordPress საიტი უსაფრთხოდ,"backup; staging; განახლება; ტესტი; აღდგენა",/website-maintenance,მოითხოვოს აუდიტი,დაგეგმილი
კორპორატიული საიტი,რა უნდა ჰქონდეს კომპანიის ვებსაიტს,კორპორატიული საიტის გვერდები,ინფორმაციული,რა უნდა ჰქონდეს კომპანიის ვებსაიტს,"აუდიტორია; მომსახურებები; ნდობა; დოკუმენტები; კონტაქტი",/corporate-website,მოითხოვოს შეფასება,დაგეგმილი
Landing Page,რა არის ლენდინგ გვერდი,landing page; გაყიდვების გვერდი,ინფორმაციული,რა არის Landing Page და როდის გჭირდებათ,"ერთი მიზანი; სტრუქტურა; CTA; ფორმა; გაზომვა",/landing-page,დაგეგმოს ლენდინგი,დაგეგმილი
ონლაინ მაღაზია,რა ღირს ონლაინ მაღაზიის შექმნა,ინტერნეტ მაღაზიის ფასი; ecommerce ფასი,ფასის გაგება,რა ღირს ონლაინ მაღაზიის შექმნა საქართველოში,"კატალოგი; გადახდა; მიწოდება; ინტეგრაციები; მოვლა",/ecommerce-development,მოითხოვოს შეფასება,დაგეგმილი
ონლაინ მაღაზია,რა უნდა დავგეგმოთ ონლაინ მაღაზიის შექმნამდე,ონლაინ მაღაზიის ბრიფი; ecommerce checklist,ინფორმაციული,რა უნდა დაგეგმოთ ონლაინ მაღაზიის შექმნამდე,"პროდუქტები; შეკვეთა; გადახდა; მიწოდება; წესები; ტესტი",/ecommerce-development,გამოგზავნოს კატალოგის აღწერა,გამოქვეყნებისთვის მზადაა
ონლაინ მაღაზია,ონლაინ გადახდის ინტეგრაცია საქართველოში,ქართული ბანკის ონლაინ გადახდა; checkout,პრობლემის გადაჭრა,როგორ იგეგმება ონლაინ გადახდის ინტეგრაცია,"merchant approval; API; წარმატება; შეცდომა; დაბრუნება",/ecommerce-development,დაასახელოს პროვაიდერი,დაგეგმილი
ონლაინ მაღაზია,როგორ მოვაწყოთ პროდუქტის კატალოგი,პროდუქტის კატეგორიები; ფილტრები; SKU,ინფორმაციული,როგორ მოვამზადოთ პროდუქტის კატალოგი ონლაინ მაღაზიისთვის,"ველები; ვარიანტები; ფოტო; ნაშთი; იმპორტი",/ecommerce-development,მოამზადოს ნიმუში,დაგეგმილი
